id,framerate,frames,bitrate,duration,width,height,size
0,SDK3-1ThqxY,12.0,2122,54708,176.84333999999998,176,144,1209355
1,seud-q0n_BY,30.019565999999998,13809,933642,460.3,640,480,53719446
2,SexANrL95Iw,29.0,4136,292884,137.971,480,360,5051187
3,Sg2O-beOOUE,25.035970000000002,6960,946173,278.4,640,480,32926852
4,SGHV-9aIzWo,24.087719,2746,240179,114.625,480,360,3441325
5,Sgut-DR3EgA,12.0,481,56214,40.123333,176,144,281938
6,SgVB-R8xfc0,25.0,780,501049,31.206667,480,360,1954509
7,SIqn-gySMpk,12.0,1261,54450,105.09333000000001,176,144,715303
8,SiQ_-zPwUgo,29.972868,7733,3624864,258.116,1920,1080,116954441
9,Sisd-383ceI,30.024540000000002,9788,568537,326.269,480,360,23187034
10,Sjay-Pie0Vc,14.0,1233,275549,83.056,320,240,2860759
11,sJbv-BGgscg,30.0,33443,5788554,1114.905,1920,1080,806711069
12,SJCP-Eq7kmI,25.0,10849,370181,433.92,480,360,20078664
13,sKDi-BdMadI,29.0,18001,800103,600.641,640,480,60071901
14,sls2-2EdVpg,30.0,3780,1722769,126.22399999999999,1280,720,27181855
15,sNy5-y_KVmE,30.0,4498,513484,149.9,480,360,9621421
16,spRx-hpm8j4,12.0,1952,57718,162.67833000000002,176,144,1173694
17,spuW-ddaWp4,30.075117,6406,802552,213.747,640,480,21442903
18,SREu-IWDw0U,30.0,1046,256578,34.833,320,240,1117174
19,sRf5-CakLrw,12.0,494,54210,41.191666,176,144,279126
20,sRRh-Jez04s,18.174603,1145,171831,63.693999999999996,320,240,1368079
21,SSNO-pPUjzo,29.833334000000004,1074,617653,36.493,480,360,2817505
22,stfR-7A0xrk,29.0,14696,429512,490.34,480,360,26325884
23,Sufs--T5aPs,29.0,1534,267838,51.151,320,240,1712523
24,sUjQ-mKYN6I,12.0,2130,54137,184.92334,176,144,1251403
25,suoM-A2DmqE,29.0,15887,309772,530.2040000000001,480,360,20530347
26,SvXQ-C6ggAQ,12.0,3293,55869,274.45833999999996,176,144,1916746
27,SWxh--hypMs,25.0,5399,501081,215.96833999999998,480,360,13527223
28,SxDp-2BVUEk,30.013275,6783,2811914,226.16400000000002,1920,1080,79494218
29,sY-q-IDc8S4,12.0,1627,54683,135.60333,176,144,926907
30,sZAd-Njc7fY,12.0,404,54406,33.66833,176,144,228974
31,sZAS-nA1B5o,29.970425,32428,3577329,1082.141,1920,1080,483896816
32,t10Q-mLggHQ,12.0,2814,55374,234.52,176,144,1623305
33,t2YH-E3Giu0,30.119404,4036,2277268,134.776,1280,720,38365135
34,t3d6-nYEjKU,12.0,7203,56766,600.2817,176,144,4259508
35,t3y1OpFRRWw,30.382353000000002,2066,515521,68.937,640,480,4442309
36,TbSb-KuxvFc,30.8125,986,2122582,32.967,1280,720,8746898
37,TcDb-Cplvuw,25.0,4800,161277,192.005,1280,720,3870772
38,tCYh-Mc2WwA,15.0,513,268283,34.133,320,240,1144667
39,tDdg-P4qvdY,25.0,1599,3965835,63.97,1920,1080,31711809
40,tEEb-znh8xU,24.05,1443,3778708,60.263999999999996,1920,1080,28465009
41,Tfo9-7duNsM,29.0,18662,256237,625.515,320,240,20035054
42,tG5Y-knQR1s,12.0,1316,55759,109.69,176,144,764539
43,tgHS-9aS1QE,29.0,1430,3521966,47.808334,1920,1080,21047419
44,tGqD-hBaHcw,30.0,5548,539326,184.94666999999998,480,360,12468338
45,Th2z-YPwbYQ,12.0,1028,52438,85.666664,176,144,561533
46,TicJ-D8swWI,29.0,6980,426264,232.894,640,480,12409316
47,TIH5-P3-Jfc,30.029888,24114,110918,803.8,480,360,11144515
48,tKcfzMnRBFM,30.0,9999,671099,333.267,640,480,27956898
49,tMfg-vGN6yk,6.0,192,291981,31.832998,480,360,1161830
50,tQB2-toBOOA,12.0,526,197914,42.0,320,240,1039050
51,t_RO-zeTBFQ,30.0,5967,2999287,198.90167,1280,720,74570403
52,tt7mPUyUp_g,12.0,733,54899,61.113335,176,144,419387
53,tuB4-Rmm_-w,25.0,4523,699690,180.88,480,360,15820010
54,tuhW-UlK5Qo,30.0,1838,446317,61.232997999999995,480,360,3416173
55,TV6C-cR-wNk,30.12245,1476,2984280,49.345,1280,720,18407411
56,Tva9-4CUXKs,12.0,1049,58922,87.445,176,144,644057
57,tWH9eITIap8,29.0,18086,366014,604.506,480,360,27657274
58,twHf-wo2ZC8,12.0,8000,55308,666.92334,176,144,4610776
59,twv7-Wi45p0,12.0,18282,56527,1523.5067,176,144,10764943
60,txgI-Fjd0V4,12.0,569,53373,47.46,176,144,316640
61,TxPl-g8NEyI,30.0,6059,226326,201.933,640,480,5712849
62,txxz--cNnWg,29.0,9090,409576,302.975,480,360,15511431
63,tytp-YnwOKI,29.0,2023,355145,67.466995,480,360,2995074
64,tYWN-GQ9ATY,29.0,2121,258995,70.737,320,240,2290073
65,tZfy-QUTgz4,12.0,1308,54646,109.04,176,144,744827
66,TzOH-BEMrPU,30.0,8947,186613,298.2,480,360,6956019
67,U5Dg-9KPtVE,12.0,1098,53203,91.53166999999999,176,144,608724
68,U5Kh-Z3tTj8,12.0,376,52573,31.346666,176,144,206002
69,u6TE-ujxRsI,30.033613,10722,460509,357.851,480,360,20599217
70,U9UE-wa0XX8,15.0,3198,257360,213.13299999999998,320,240,6856494
71,uaes-4LJmRg,12.0,4108,55368,342.355,176,144,2369470
72,Uaqa-Mg1pA0,30.636364,1011,7628466,33.873000000000005,1920,1080,32299880
73,UB9c-ZVebNo,12.0,3850,55830,321.03833,176,144,2240467
74,uBQ1--LS8Ew,29.0,24376,5787556,813.3483,1920,1080,588412400
75,udp6-XtkRFw,29.0,8197,500718,273.50665,480,360,17118728
76,Ues3-aB_RNk,12.0,381,57589,32.785,176,144,236009
77,uhvn-RSL2_s,29.0,2104,300904,70.27600000000001,320,240,2643295
78,UMF8-hKrH8Y,25.0,3191,139833,127.64,480,360,2231047
79,uO9o-NooIJk,29.0,5851,400310,195.00900000000001,480,360,9758022
80,uQ1v-UjU7LA,24.0,1135,361431,47.25,640,480,2134704
81,uR7y-Q1y0lI,30.010326,37783,2133886,1259.556,1280,720,335968599
82,uSvh-H3tLdA,12.0,433,50971,36.083332,176,144,229904
83,uSVn-fRXpeE,15.0,2911,289532,194.0,320,240,7021165
